player,year,age,team,league,war,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,runs_batted_in,stolen_bases,caught_stealing,walks,strikeouts,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,on_base_plus_slugging_plus,runs_above_base_average,rbat_plus,total_bases,double_plays,hit_by_puitch,sacrifice_bunts,sacrifice_flies,intentional_walks
Marcus Semien,2022,31,TEX,AL,5.7,161,724,657,101,163,31,5,26,83,25,8,53,120,0.248,0.304,0.429,0.733,106.0,0.334,111.0,282,7,4,0,10,0
Freddie Freeman*,2022,32,LAD,NL,6.2,159,708,612,117,199,47,2,21,100,13,3,84,102,0.325,0.407,0.511,0.918,156.0,0.403,159.0,313,6,5,0,7,12
Trea Turner,2022,29,LAD,NL,5.2,160,708,652,101,194,39,4,21,100,27,3,45,131,0.298,0.343,0.466,0.809,124.0,0.356,121.0,304,9,3,0,6,1
Vladimir Guerrero Jr.,2022,23,TOR,AL,4.0,160,706,638,90,175,35,0,32,97,8,3,58,116,0.274,0.339,0.48,0.818,133.0,0.357,133.0,306,26,6,0,4,6
Francisco Lindor#,2022,28,NYM,NL,5.4,161,706,630,98,170,25,5,26,107,16,6,59,133,0.27,0.339,0.449,0.788,125.0,0.351,128.0,283,11,10,0,7,2
Matt Olson*,2022,28,ATL,NL,3.3,162,699,616,86,148,44,0,34,103,0,0,75,170,0.24,0.325,0.477,0.802,120.0,0.344,116.0,294,13,4,0,4,6
Bo Bichette,2022,24,TOR,AL,3.7,159,697,652,91,189,43,1,24,93,13,8,41,155,0.29,0.333,0.469,0.802,128.0,0.355,133.0,306,21,2,0,2,0
Aaron Judge,2022,30,NYY,AL,10.8,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210.0,0.463,208.0,391,14,6,0,5,19
Dansby Swanson,2022,28,ATL,NL,5.5,162,696,640,99,177,32,1,25,96,18,7,49,182,0.277,0.329,0.447,0.776,114.0,0.342,113.0,286,12,3,0,4,0
Austin Riley,2022,25,ATL,NL,6.4,159,693,615,90,168,39,2,38,93,2,0,57,168,0.273,0.349,0.528,0.878,140.0,0.38,141.0,325,13,17,0,4,1
Pete Alonso,2022,27,NYM,NL,4.4,160,685,597,95,162,27,0,40,131,5,1,67,128,0.271,0.352,0.518,0.869,146.0,0.371,143.0,309,17,12,0,9,16
José Ramírez#,2022,29,CLE,AL,5.9,157,685,601,90,168,44,5,29,126,20,7,69,82,0.28,0.355,0.514,0.869,148.0,0.365,140.0,309,5,6,0,9,20
Jake Cronenworth*,2022,28,SDP,NL,3.9,158,684,587,88,140,30,4,17,88,3,0,70,131,0.239,0.332,0.39,0.722,109.0,0.326,112.0,229,2,16,0,8,3
José Abreu,2022,35,CHW,AL,4.3,157,679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,134.0,0.368,138.0,268,19,12,0,4,2
Brandon Nimmo*,2022,29,NYM,NL,5.0,151,673,580,102,159,30,7,16,64,3,2,71,116,0.274,0.367,0.433,0.8,130.0,0.361,136.0,251,9,16,3,3,0
Rhys Hoskins,2022,29,PHI,NL,3.0,156,672,589,81,145,33,2,30,79,2,1,72,169,0.246,0.332,0.462,0.794,123.0,0.348,123.0,272,12,6,0,4,0
Cedric Mullins*,2022,27,BAL,AL,4.0,156,672,608,89,157,32,4,16,64,34,10,47,126,0.258,0.318,0.403,0.721,107.0,0.326,107.0,245,4,9,1,5,2
Christian Yelich*,2022,30,MIL,NL,2.5,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,109.0,0.335,110.0,220,9,5,1,2,5
Amed Rosario,2022,26,CLE,AL,4.2,153,670,637,86,180,26,9,11,71,18,4,25,111,0.283,0.312,0.403,0.715,106.0,0.319,104.0,257,19,4,0,4,0
Kyle Schwarber*,2022,29,PHI,NL,2.3,155,669,577,100,126,21,3,46,94,10,1,86,200,0.218,0.323,0.504,0.827,131.0,0.36,130.0,291,10,4,0,2,3
Christian Walker,2022,31,ARI,NL,5.0,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,125.0,0.351,126.0,278,15,8,0,7,2
Shohei Ohtani*,2022,27,LAA,AL,3.4,157,666,586,90,160,30,6,34,95,11,9,72,161,0.273,0.356,0.519,0.875,144.0,0.371,142.0,304,6,5,0,3,14
Juan Soto*,2022,23,2TM,NL,5.5,153,664,524,93,127,25,2,27,62,6,2,135,96,0.242,0.401,0.452,0.853,147.0,0.382,152.0,237,12,4,0,0,6
Juan Soto*,2022,23,WSN,NL,3.7,101,436,342,62,84,17,1,21,46,6,2,91,62,0.246,0.408,0.485,0.894,158.0,0.396,162.0,166,11,3,0,0,4
Juan Soto*,2022,23,SDP,NL,1.7,52,228,182,31,43,8,1,6,16,0,0,44,34,0.236,0.388,0.39,0.778,127.0,0.355,134.0,71,1,1,0,0,2
Corey Seager*,2022,28,TEX,AL,3.8,151,663,593,91,145,24,1,33,83,3,0,58,103,0.245,0.317,0.455,0.772,117.0,0.334,113.0,270,14,7,0,5,7
Jurickson Profar#,2022,29,SDP,NL,2.9,152,658,575,82,140,36,2,15,58,5,1,73,103,0.243,0.331,0.391,0.723,109.0,0.326,112.0,225,12,4,3,3,0
Adolis García,2022,29,TEX,AL,3.7,156,657,605,88,151,34,5,27,101,25,6,40,183,0.25,0.3,0.456,0.756,112.0,0.331,108.0,276,9,6,0,6,2
Alex Bregman,2022,28,HOU,AL,4.5,155,656,548,93,142,38,0,23,93,1,2,87,77,0.259,0.366,0.454,0.82,134.0,0.358,133.0,249,18,11,0,10,1
Paul Goldschmidt,2022,34,STL,NL,7.7,151,651,561,106,178,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177.0,0.427,181.0,324,7,5,0,4,1
Anthony Santander#,2022,27,BAL,AL,2.1,152,647,574,78,138,24,0,33,89,0,2,55,122,0.24,0.318,0.455,0.773,120.0,0.338,121.0,261,14,13,0,5,1
Josh Bell#,2022,29,2TM,NL,2.9,156,647,552,78,147,29,3,17,71,0,1,81,102,0.266,0.362,0.422,0.784,127.0,0.351,131.0,233,22,5,0,6,4
Josh Bell#,2022,29,WSN,NL,3.3,103,437,375,52,113,24,3,14,57,0,1,49,61,0.301,0.384,0.493,0.877,152.0,0.382,153.0,185,19,5,0,6,4
Josh Bell#,2022,29,SDP,NL,-0.5,53,210,177,26,34,5,0,3,14,0,0,32,41,0.192,0.316,0.271,0.587,73.0,0.289,86.0,48,3,0,0,0,0
Randy Arozarena,2022,27,TBR,AL,2.5,153,645,586,72,154,41,3,20,89,32,12,46,156,0.263,0.327,0.445,0.773,123.0,0.344,125.0,261,17,11,0,2,2
Nathaniel Lowe*,2022,26,TEX,AL,3.2,157,645,593,74,179,26,3,27,76,2,2,48,147,0.302,0.358,0.492,0.851,139.0,0.373,142.0,292,10,4,0,0,2
Manny Machado,2022,29,SDP,NL,6.8,150,644,578,100,172,37,1,32,102,9,1,63,133,0.298,0.366,0.531,0.898,157.0,0.392,159.0,307,12,1,0,2,10
Alex Verdugo*,2022,26,BOS,AL,0.9,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102.0,0.323,101.0,240,14,3,0,6,2
Ian Happ#,2022,27,CHC,NL,4.3,158,641,573,72,155,42,2,17,72,9,4,58,149,0.271,0.342,0.44,0.781,117.0,0.345,117.0,252,11,6,0,4,4
Mookie Betts,2022,29,LAD,NL,6.7,142,639,572,117,154,40,3,35,82,12,2,55,104,0.269,0.34,0.533,0.873,140.0,0.384,144.0,305,8,8,0,4,0
Steven Kwan*,2022,24,CLE,AL,5.7,147,638,563,89,168,25,7,6,52,19,5,62,60,0.298,0.373,0.4,0.772,124.0,0.349,126.0,225,9,7,2,4,2
C.J. Cron,2022,32,COL,NL,2.3,150,632,575,79,148,28,3,29,102,0,0,43,164,0.257,0.315,0.468,0.783,108.0,0.339,105.0,269,16,8,0,5,6
Bobby Witt Jr.,2022,22,KCR,AL,0.9,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,102.0,0.319,97.0,253,12,6,0,5,2
Xander Bogaerts,2022,29,BOS,AL,5.7,150,631,557,84,171,38,0,15,73,8,2,57,118,0.307,0.377,0.456,0.833,131.0,0.367,131.0,254,14,10,0,7,2
Alec Bohm,2022,25,PHI,NL,0.9,152,631,586,79,164,24,3,13,72,2,3,31,110,0.28,0.315,0.398,0.713,101.0,0.323,106.0,233,18,4,0,10,1
Tommy Edman#,2022,27,STL,NL,6.2,153,630,577,95,153,31,4,13,57,32,3,46,111,0.265,0.324,0.4,0.725,107.0,0.33,105.0,231,10,5,1,1,2
Eugenio Suárez,2022,30,SEA,AL,4.1,150,629,543,76,128,24,2,31,87,0,0,73,196,0.236,0.332,0.459,0.791,129.0,0.346,130.0,249,12,8,0,5,0
Tommy Pham,2022,34,2TM,2LG,0.4,144,622,554,89,131,23,1,17,63,8,3,56,167,0.236,0.312,0.374,0.686,89.0,0.305,85.0,207,20,7,0,5,0
Tommy Pham,2022,34,CIN,NL,0.7,91,387,340,57,81,11,1,11,39,7,2,42,100,0.238,0.32,0.374,0.694,90.0,0.308,86.0,127,13,1,0,4,0
Tommy Pham,2022,34,BOS,AL,-0.3,53,235,214,32,50,12,0,6,24,1,1,14,67,0.234,0.298,0.374,0.672,86.0,0.301,85.0,80,7,6,0,1,0
Matt Chapman,2022,29,TOR,AL,3.7,155,621,538,83,123,27,1,27,76,2,2,68,170,0.229,0.324,0.433,0.757,116.0,0.329,113.0,233,7,10,0,5,1
Nolan Arenado,2022,31,STL,NL,7.9,148,620,557,73,163,42,1,30,103,5,3,52,72,0.293,0.358,0.533,0.891,151.0,0.381,150.0,297,15,7,0,4,3
Willy Adames,2022,26,MIL,NL,4.3,139,617,563,83,134,31,0,31,98,8,3,49,166,0.238,0.298,0.458,0.756,110.0,0.328,108.0,258,11,1,0,4,3
César Hernández#,2022,32,WSN,NL,0.5,147,617,560,64,139,28,4,1,34,10,4,45,114,0.248,0.311,0.318,0.629,83.0,0.285,81.0,178,9,7,3,2,0
Rafael Devers*,2022,25,BOS,AL,4.5,141,614,555,84,164,42,1,27,88,3,1,50,114,0.295,0.358,0.521,0.879,141.0,0.381,143.0,289,14,6,0,3,11
Bryan Reynolds#,2022,27,PIT,NL,3.0,145,614,542,74,142,19,4,27,62,7,3,56,141,0.262,0.345,0.461,0.807,127.0,0.359,131.0,250,13,14,0,2,6
Ty France,2022,27,SEA,AL,3.0,140,613,551,65,151,27,1,20,83,0,0,35,94,0.274,0.338,0.436,0.774,125.0,0.345,129.0,240,18,21,0,5,3
Sean Murphy,2022,27,OAK,AL,3.7,148,612,537,67,134,37,2,18,66,1,0,56,124,0.25,0.332,0.426,0.759,122.0,0.333,121.0,229,14,13,0,5,2
Ryan Mountcastle,2022,25,BAL,AL,1.6,145,609,555,62,139,28,1,22,85,4,1,43,154,0.25,0.305,0.423,0.729,108.0,0.318,105.0,235,12,4,0,7,1
Kyle Tucker*,2022,25,HOU,AL,5.5,150,609,544,71,140,28,1,30,107,25,4,59,95,0.257,0.33,0.478,0.808,129.0,0.356,127.0,260,11,1,0,2,4
Jose Altuve,2022,32,HOU,AL,5.2,141,604,527,103,158,39,0,28,57,18,1,66,87,0.3,0.387,0.533,0.921,161.0,0.405,163.0,281,13,10,0,1,2
Luis Arráez*,2022,25,MIN,AL,4.1,144,603,547,88,173,31,1,8,49,4,4,50,43,0.316,0.375,0.42,0.795,128.0,0.355,132.0,230,6,3,0,3,2
J.P. Crawford*,2022,27,SEA,AL,2.7,145,603,518,57,126,24,3,6,42,3,2,68,80,0.243,0.339,0.336,0.675,100.0,0.309,103.0,174,11,10,2,5,0
Wilmer Flores,2022,30,SFG,NL,0.9,151,602,525,72,120,28,1,19,71,0,0,59,103,0.229,0.316,0.394,0.71,101.0,0.316,101.0,207,7,11,0,7,1
Adam Frazier*,2022,30,SEA,AL,0.9,156,602,541,61,129,22,4,3,42,11,6,46,73,0.238,0.301,0.311,0.612,80.0,0.276,79.0,168,15,5,4,6,1
Rowdy Tellez*,2022,27,MIL,NL,0.8,153,599,529,67,116,23,0,35,89,2,1,62,121,0.219,0.306,0.461,0.767,113.0,0.332,111.0,244,20,5,0,3,9
Ryan McMahon*,2022,27,COL,NL,3.2,153,597,529,67,130,23,3,20,67,7,3,60,158,0.246,0.327,0.414,0.741,98.0,0.328,97.0,219,7,5,0,3,0
J.D. Martinez,2022,34,BOS,AL,1.1,139,596,533,76,146,43,1,16,62,0,0,52,145,0.274,0.341,0.448,0.79,117.0,0.346,117.0,239,20,5,0,5,1
Myles Straw,2022,27,CLE,AL,2.7,152,596,535,72,118,22,3,0,32,21,1,54,87,0.221,0.291,0.273,0.564,65.0,0.269,65.0,146,4,1,2,4,0
Daulton Varsho*,2022,25,ARI,NL,4.9,151,592,531,79,125,23,3,27,74,16,6,46,145,0.235,0.302,0.443,0.745,108.0,0.328,108.0,235,8,7,2,5,0
Javier Báez,2022,29,DET,AL,2.4,144,590,555,64,132,27,4,17,67,9,2,26,147,0.238,0.278,0.393,0.671,91.0,0.307,95.0,218,13,6,0,3,1
Carlos Correa,2022,27,MIN,AL,5.3,136,590,522,70,152,24,1,22,64,0,1,61,121,0.291,0.366,0.467,0.834,138.0,0.367,140.0,244,18,3,0,4,2
Jeff McNeil*,2022,30,NYM,NL,5.9,148,589,533,73,174,39,1,9,62,4,0,40,61,0.326,0.382,0.454,0.836,140.0,0.365,137.0,242,6,11,0,5,1
Trey Mancini,2022,30,2TM,AL,1.5,143,587,519,56,124,23,1,18,63,0,0,53,135,0.239,0.319,0.391,0.71,103.0,0.321,107.0,203,12,10,0,5,2
Trey Mancini,2022,30,BAL,AL,1.9,92,401,354,39,95,16,1,10,41,0,0,35,86,0.268,0.347,0.404,0.751,116.0,0.343,123.0,143,4,9,0,3,2
Trey Mancini,2022,30,HOU,AL,-0.5,51,186,165,17,29,7,0,8,22,0,0,18,49,0.176,0.258,0.364,0.622,76.0,0.274,72.0,60,8,1,0,2,0
Yuli Gurriel,2022,38,HOU,AL,-0.2,146,584,545,53,132,40,0,8,53,8,0,30,73,0.242,0.288,0.36,0.647,85.0,0.293,83.0,196,13,6,0,3,0
Kyle Farmer,2022,31,CIN,NL,1.2,145,583,526,58,134,25,1,14,78,4,3,33,99,0.255,0.315,0.386,0.701,92.0,0.312,91.0,203,20,16,2,6,0
George Springer,2022,32,TOR,AL,4.2,133,583,513,89,137,22,4,25,76,14,2,54,100,0.267,0.342,0.472,0.814,132.0,0.361,133.0,242,7,7,0,5,1
Austin Hays,2022,26,BAL,AL,2.9,145,582,535,66,134,35,2,16,60,2,4,34,114,0.25,0.306,0.413,0.719,105.0,0.321,109.0,221,11,10,0,3,0
Ha-Seong Kim,2022,26,SDP,NL,5.0,150,582,517,58,130,29,3,11,59,12,2,51,100,0.251,0.325,0.383,0.708,105.0,0.322,107.0,198,9,7,3,4,0
Brendan Rodgers,2022,25,COL,NL,4.3,137,581,527,72,140,30,3,13,63,0,0,46,101,0.266,0.325,0.408,0.733,97.0,0.325,95.0,215,25,3,0,5,0
Andrew McCutchen,2022,35,MIL,NL,1.0,134,580,515,66,122,25,0,17,69,8,6,57,124,0.237,0.316,0.384,0.7,97.0,0.31,96.0,198,10,4,0,4,1
Will Smith,2022,27,LAD,NL,4.5,137,578,508,68,132,26,3,24,87,1,0,56,96,0.26,0.343,0.465,0.807,124.0,0.355,125.0,236,11,10,0,4,4
Charlie Blackmon*,2022,35,COL,NL,0.2,135,577,530,60,140,22,6,16,78,4,1,32,109,0.264,0.314,0.419,0.733,96.0,0.322,92.0,222,10,8,4,3,4
Elvis Andrus,2022,33,2TM,AL,3.1,149,577,535,66,133,32,0,17,58,18,4,39,92,0.249,0.303,0.404,0.707,104.0,0.322,107.0,216,11,3,0,0,0
Elvis Andrus,2022,33,OAK,AL,1.4,106,386,354,41,84,24,0,8,30,7,4,30,62,0.237,0.301,0.373,0.673,97.0,0.304,101.0,132,10,2,0,0,0
Elvis Andrus,2022,33,CHW,AL,1.7,43,191,181,25,49,8,0,9,28,11,0,9,30,0.271,0.309,0.464,0.773,116.0,0.357,120.0,84,1,1,0,0,0
Gleyber Torres,2022,25,NYY,AL,4.1,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,113.0,0.334,114.0,237,12,3,1,3,2
Brandon Drury,2022,29,2TM,NL,2.7,138,568,518,87,136,31,2,28,87,2,3,38,126,0.263,0.32,0.492,0.813,123.0,0.353,124.0,255,8,8,0,4,0
Brandon Drury,2022,29,CIN,NL,2.3,92,385,350,62,96,22,2,20,59,2,2,29,84,0.274,0.335,0.52,0.855,131.0,0.371,133.0,182,6,4,0,2,0
