player,year,age,team,league,games,games_started,games_completed,innings,chances,putouts,assists,errors,double_plays,fielding_percentage,tz_runs,tz_runs_rate,drs,drs_rate,range_9,lg_range_9,range_g,lg_range_g
Matt Olson,2024,30,ATL,NL,162,162,162,1443.1,1370,1259,105,6,125,0.996,14.0,11.0,13,11.0,8.51,8.29,8.42,8.18
Jarren Duran,2024,27,BOS,AL,160,160,125,1421.1,374,356,12,6,2,0.984,2.0,2.0,23,19.0,2.33,2.27,2.3,2.24
Anthony Volpe,2024,23,NYY,AL,160,158,156,1416.2,570,210,344,16,68,0.972,4.0,4.0,6,5.0,3.52,3.7,3.46,3.65
Pete Alonso,2024,29,NYM,NL,161,159,157,1412.1,1285,1179,99,7,117,0.995,-1.0,-1.0,-3,-3.0,8.14,8.29,7.94,8.18
Willy Adames,2024,28,MIL,NL,161,161,151,1406.1,547,204,323,20,66,0.963,-8.0,-7.0,-16,-14.0,3.37,3.82,3.27,3.77
Bobby Witt Jr.,2024,24,KCR,AL,160,160,149,1393.2,583,207,361,15,78,0.974,-1.0,-1.0,2,2.0,3.67,3.7,3.55,3.65
Elly De La Cruz,2024,22,CIN,NL,160,159,155,1391.0,636,247,360,29,70,0.954,-1.0,0.0,-2,-2.0,3.93,3.82,3.79,3.77
Jeremy Peña,2024,26,HOU,AL,157,157,153,1388.0,620,221,380,19,86,0.969,6.0,5.0,4,3.0,3.9,3.7,3.83,3.65
Gunnar Henderson,2024,23,BAL,AL,157,157,149,1384.0,635,232,378,25,71,0.961,1.0,1.0,5,4.0,3.97,3.7,3.89,3.65
Marcus Semien,2024,33,TEX,AL,159,159,148,1382.2,610,214,389,7,77,0.989,14.0,12.0,10,9.0,3.93,3.97,3.79,3.91
Orlando Arcia,2024,29,ATL,NL,157,156,150,1381.1,572,168,393,11,87,0.981,-3.0,-3.0,-1,-1.0,3.66,3.82,3.57,3.77
Ezequiel Tovar,2024,22,COL,NL,157,156,156,1375.2,676,233,435,8,113,0.988,17.0,15.0,10,9.0,4.37,3.82,4.25,3.77
Nick Castellanos,2024,32,PHI,NL,157,157,143,1363.2,269,263,3,3,0,0.989,-3.0,-2.0,-11,-10.0,1.76,2.21,1.69,2.18
